date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2018-11-09,buy,32.790000915527344,789.0135157570527,25871.753904037207,0.9875000000058207,0.9984375000007276,263782.52634360275,2365406.4536602395,2313547.888809887,2018-11-09,32.790000915527344
2019-05-02,sell,40.58000183105469,-21521.9469003358,873360.6446234885,0.9984375000007276,0.7,1131530.0821040962,2920830.955941559,2927393.320891242,2019-05-02,40.58000183105469
2019-05-03,sell,40.709999084472656,-21572.53785354018,878217.9962673724,0.7,0.4,2004103.771309458,2921749.0138292317,2911106.5925440937,2019-05-03,40.709999084472656
2019-05-06,sell,40.34000015258789,-7216.426825812344,291110.6592544093,0.4,0.30000000000000004,2293343.4623568393,2909235.6243370655,2903173.852230727,2019-05-06,40.34000015258789
2019-05-07,sell,40.060001373291016,-3623.53189304475,145158.69261153648,0.30000000000000004,0.25,2437569.2200509612,2902240.9173133126,2898617.3715975904,2019-05-07,40.060001373291016
2019-05-08,sell,39.86000061035156,-1817.9988253969223,72465.43428993975,0.25,0.225,2509568.9189947196,2898151.636251409,2893897.484047,2019-05-08,39.86000061035156
2019-05-09,sell,39.59999847412109,-913.4777763748467,36173.71855058745,0.225,0.21250000000000002,2545510.1490561827,2893664.9955578754,2885745.1693018214,2019-05-09,39.59999847412109
2019-05-14,sell,37.0,-843.2746068848231,31201.160454738456,0.21250000000000002,0.2015625,2576510.779652678,2852476.997432126,2858848.5370548773,2019-05-14,37.0
2019-05-15,buy,37.40999984741211,22925.810334527247,857654.5611164633,0.2015625,0.5015625,1718490.000038618,2858482.3185572806,2858865.545114707,2019-05-15,37.40999984741211
2019-05-16,buy,37.41999816894531,22830.29054722719,854309.4304737309,0.5015625,0.800390625,863815.7794380748,2858500.754987895,2855443.3333188538,2019-05-16,37.41999816894531
2019-05-17,buy,37.369998931884766,7626.08075197697,284986.62955584633,0.800390625,0.9001953125,578707.4605914081,2855321.6440280336,2807860.8025427507,2019-05-17,37.369998931884766
2019-05-20,sell,36.68000030517578,-22965.055445868227,842358.2407628254,0.9001953125,0.6001953124999999,1415651.8649408508,2802446.966129368,2779474.4350795136,2019-05-20,36.68000030517578
2019-05-21,buy,36.18000030517578,13432.859935436165,486000.87656346394,0.6001953124999999,0.775048828125,929443.4660030945,2779266.912705221,2804274.4300467703,2019-05-21,36.18000030517578
2019-05-22,buy,36.59999847412109,8617.82575953055,315412.4096490595,0.775048828125,0.8875244140625,613896.3752551147,2804139.74894785,2766738.867269246,2019-05-22,36.59999847412109
2019-05-23,buy,36.04999923706055,4316.096835201171,155595.28761608168,0.8875244140625,0.94376220703125,458234.648451221,2766672.4280814338,2735527.0033970866,2019-05-23,36.04999923706055
2019-05-24,buy,35.619998931884766,2159.4610596655893,76920.00063873503,0.94376220703125,0.971881103515625,381281.80297221325,2735494.158556814,2748182.773878203,2019-05-24,35.619998931884766
2019-05-27,buy,35.790000915527344,1079.5734138315995,38637.933469411924,0.971881103515625,0.9859405517578125,342627.37110520987,2748166.2754806112,2740595.426674645,2019-05-27,35.790000915527344
2019-05-29,buy,34.95000076293945,809.9481172444372,28307.68731563445,0.9859405517578125,0.9964851379394531,314307.59640709165,2684558.6324169687,2707521.104197324,2019-05-29,34.95000076293945
2019-12-19,sell,54.54999923706055,-22738.867034700794,1240405.1793945495,0.9964851379394531,0.7,1546740.6917136724,4175728.954066123,4148885.775627376,2019-12-19,54.54999923706055
2019-12-20,sell,54.04999923706055,-23028.043483019712,1244665.7326882125,0.7,0.4,2783406.957737898,4140886.308963389,4128604.7560484568,2019-12-20,54.04999923706055
2019-12-23,sell,53.650001525878906,-7695.442010485236,412860.47560484556,0.4,0.30000000000000004,3193613.979066031,4125951.3017717446,4131722.8832796086,2019-12-23,53.650001525878906
2019-12-24,sell,53.900001525878906,-3832.766944631584,206586.1441639806,0.30000000000000004,0.25,3398872.394081469,4130395.1541310665,4122729.5910001122,2019-12-24,53.900001525878906
2019-12-25,sell,53.5,-1926.5091546729493,103068.23977500279,0.25,0.225,3501278.2142794384,4122067.1714230785,4127268.7329124073,2019-12-25,53.5
