date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2020-03-02,517276.86023998,47.08832836,517229.77191162,0.00000000
2020-03-03,529655.58704662,47.08832836,529608.49871826,0.00000000
2020-03-04,533112.67982006,47.08832836,533065.59149170,0.00000000
2020-03-05,545602.90790844,47.08832836,545555.81958008,0.00000000
2020-03-06,525752.36152172,47.08832836,525705.27319336,0.00000000
2020-03-09,494861.31641674,47.08832836,494814.22808838,0.00000000
2020-03-10,498764.54194164,47.08832836,498717.45361328,0.00000000
2020-03-11,484266.90790844,47.08832836,484219.81958008,0.00000000
2020-03-12,439770.45173168,47.08832836,439723.36340332,0.00000000
2020-03-13,419808.36152172,47.08832836,419761.27319336,0.00000000
2020-03-16,386240.86023998,47.08832836,386193.77191162,0.00000000
2020-03-17,366724.86023998,47.08832836,366677.77191162,0.00000000
2020-03-18,341967.40662670,47.08832836,341920.31829834,0.00000000
2020-03-19,294459.88407421,47.08832836,294412.79574585,0.00000000
2020-03-20,339625.49683666,47.08832836,339578.40850830,0.00000000
2020-03-23,315091.08832836,47.08832836,315044.00000000,0.00000000
2020-03-24,350219.88407421,47.08832836,350172.79574585,0.00000000
2020-03-25,372635.40662670,47.08832836,372588.31829834,0.00000000
2020-03-26,382560.67982006,47.08832836,382513.59149170,0.00000000
2020-03-27,379103.58704662,47.08832836,379056.49871826,0.00000000
2020-03-30,375869.49683666,47.08832836,375822.40850830,0.00000000
2020-03-31,378545.95301342,47.08832836,378498.86468506,0.00000000
2020-04-01,378880.54194164,47.08832836,378833.45361328,0.00000000
2020-04-06,393824.22364330,47.08832836,393777.13531494,0.00000000
2020-04-07,408656.36152172,47.08832836,408609.27319336,0.00000000
2020-04-08,421927.26874828,47.08832836,421880.18041992,0.00000000
2020-04-09,417466.45173168,47.08832836,417419.36340332,0.00000000
2020-04-10,421146.58961010,47.08832836,421099.50128174,0.00000000
2020-04-13,415682.13343334,47.08832836,415635.04510498,0.00000000
2020-04-14,440885.63471508,47.08832836,440838.54638672,0.00000000
2020-04-15,444677.31641674,47.08832836,444630.22808838,0.00000000
2020-04-16,443450.58961010,47.08832836,443403.50128174,0.00000000
2020-04-17,463412.67982006,47.08832836,463365.59149170,0.00000000
